"Plot65"
"Time (sec)","Acceleration26 (meter/sec**2)"
12.6360000000009,-5.55787970670873
12.6380000000009,-5.55783885062211
12.6400000000009,-5.55785532896212
12.6420000000009,-5.55800412295528
12.6440000000009,-5.55813062627263
12.6460000000009,-5.55839362963959
12.6480000000009,-5.55865916026301
12.6500000000009,-5.55904629361766
12.6520000000009,-5.55958560710166
12.6540000000009,-5.55999787552838
12.6560000000009,-5.56066322530808
12.6580000000009,161.351162808976
12.6600000000009,22.567153403648
12.6600000000009,22.567153403648
12.6620000000009,75.1883021823256
12.6630000000009,57.1631375059647
12.6640000000009,43.3242972354124
12.6660000000009,26.346548186993
12.6680000000009,15.1521017189046
12.6700000000009,8.11395333990863
12.6720000000009,3.68227834613461
12.6740000000009,0.888707984195232
12.6760000000009,-0.873825000156462
12.6780000000009,-1.98655770364895
12.6800000000009,-2.68954299732446
12.6820000000009,-3.1341115499581
12.6840000000009,-3.41547396520656
12.6860000000009,-3.59403319780048
12.6880000000009,-3.70690046786651
12.6900000000009,-3.77913022145484
12.6920000000009,-3.82555212727725
12.6940000000009,-3.85555652892071
12.6960000000009,-3.87544228211917
12.6980000000009,-3.88837192852006
12.7000000000009,-3.89782858731488
12.7020000000009,-3.90457292745288
12.7040000000009,-3.909642344097
12.7060000000009,-3.91437450640834
12.7080000000009,-3.91831949045852
12.7100000000009,-3.92167336890894
12.7120000000009,-3.92527827329808
12.7140000000009,-3.92855490425578
12.7160000000009,-3.93221167219894
12.7180000000009,-3.93614228357885
12.7200000000009,-3.93918584939487
12.7220000000009,-3.94313274959518
12.7240000000009,-3.94734915984595
12.7260000000009,-3.95098230813481
12.7280000000009,-3.95527856365634
12.7300000000009,-3.96011028466014
12.7320000000009,-3.96537810260511
12.7340000000009,-3.96788065980093
12.7360000000009,-3.97422761261463
12.7380000000009,-3.97762677362637
12.7400000000009,-3.9848022392034
12.7420000000009,-3.98917181290248
12.7440000000009,-3.99597003857419
12.7460000000009,-4.00117125690316
12.7480000000009,22.4484081230055
12.7500000000009,39.4687941777482
12.7520000000009,27.4515153844292
12.7540000000009,19.465339541402
12.7560000000009,14.1514285853072
12.7580000000009,10.6103591613875
12.7600000000009,8.24707473958128
12.7620000000009,6.67132461723159
12.7640000000009,5.61798651588592
12.7660000000009,4.91259224999125
12.7680000000009,4.4402872810845
12.7700000000009,4.12536595610868
12.7720000000009,3.91166826223265
12.7740000000009,3.76613950113205
12.7760000000009,3.66986501905234
12.7780000000009,3.60094412749568
12.7800000000009,3.55297748807133
12.7820000000009,3.52006382753442
12.7840000000009,3.49825970183554
12.7860000000009,3.47923540199932
12.7880000000009,3.46552173272822
12.7900000000009,3.45642278600942
12.7920000000009,3.444538047278
12.7940000000009,3.43686898834053
12.7960000000009,3.42980291036438
12.7980000000009,3.42617608434187
12.8000000000009,3.42056690116061
12.8020000000009,3.4138014083063
12.8040000000009,3.40961553032847
12.8060000000009,3.40445096775673
12.8080000000009,3.40035391615993
12.8100000000009,3.39605636473612
12.8120000000009,3.39120073151607
12.8140000000009,3.38834469820452
12.8160000000009,3.38018011598286
12.8180000000009,3.37730941476979
12.820000000001,3.37255439159135
12.822000000001,3.36900842583862
12.824000000001,3.36661414029949
12.826000000001,3.35846606830399
12.828000000001,3.35464773750486
12.830000000001,3.3502842605284
12.832000000001,3.34478779470505
12.834000000001,3.33848243543448
12.836000000001,3.3346167304396
12.838000000001,3.32800740004397
12.840000000001,3.32386832955502
12.842000000001,3.31589677778151
12.844000000001,3.31091930343087
12.846000000001,3.30459414608771
12.848000000001,3.29783598610623
12.850000000001,3.29144137766165
12.852000000001,3.28507097399561
12.854000000001,3.27848366835764
12.856000000001,3.2725675524108
12.858000000001,3.26529204138505
12.860000000001,3.25771758392606
12.862000000001,3.25020864777376
12.864000000001,3.24340973289738
12.866000000001,3.2364584747484
12.868000000001,3.22833121416984
12.870000000001,3.22258573127465
12.872000000001,3.21537392943137
12.874000000001,3.20873969548277
12.876000000001,3.20133317732521
12.878000000001,3.19426922202169
12.880000000001,3.18756001026413
12.882000000001,3.18020265641374
12.884000000001,3.17340468012713
12.886000000001,3.16668028243665
12.888000000001,3.15940109435911
12.890000000001,3.15253873489571
12.892000000001,3.14570090422782
12.894000000001,3.13990613291396
12.896000000001,3.13262903340599
12.898000000001,3.12650535949311
12.900000000001,3.1197027113677
12.902000000001,3.11375738641732
12.904000000001,3.10736335475056
12.906000000001,3.10105520583913
12.908000000001,3.094793513914
12.910000000001,3.08887649193975
12.912000000001,3.08264510521489
12.914000000001,3.07705695648607
12.916000000001,3.07096683244164
12.918000000001,3.06500372120445
12.920000000001,3.05933986442662
12.922000000001,3.05350318585297
12.924000000001,3.04775743978034
12.926000000001,3.04215423685894
12.928000000001,3.0363930000813
12.930000000001,3.03108745210802
12.932000000001,3.02569665302897
12.934000000001,3.0201344213661
12.936000000001,3.01480120211599
12.938000000001,3.00939143872925
12.940000000001,3.004044204977
12.942000000001,2.99892430409534
12.944000000001,2.99346594506796
12.946000000001,2.98827659577421
12.948000000001,2.98309773531158
12.950000000001,2.97785635135369
12.952000000001,2.97271418382078
12.954000000001,2.9676373986186
12.956000000001,2.96261787931505
12.958000000001,2.95752895156985
12.960000000001,2.95248207618091
12.962000000001,2.94743782421127
12.964000000001,2.94237781103823
12.966000000001,2.93744227028941
12.968000000001,2.93232683294132
12.970000000001,2.92723570083521
12.972000000001,2.92210629091372
12.974000000001,2.91685998669406
12.976000000001,2.91178136422316
12.978000000001,2.90670057834284
12.980000000001,2.90153401710225
12.982000000001,2.89645395538102
12.984000000001,2.89132719146368
12.986000000001,2.88614095044747
12.988000000001,2.88095139302415
12.990000000001,2.87567157912614
12.992000000001,2.87054515699565
12.994000000001,2.86532846045064
12.996000000001,2.86007780896262
12.998000000001,2.85484620440599
13.000000000001,2.84950315395815
13.002000000001,2.84422552836493
13.004000000001,2.838906987621
13.006000000001,2.83356244057935
13.008000000001,2.82825152739009
13.010000000001,2.82288113021968
13.012000000001,2.81747746896041
13.014000000001,2.81207640004382
13.016000000001,2.80660671054219
13.018000000001,2.80119209956323
13.020000000001,2.79574485547567
13.022000000001,2.79026445200531
13.024000000001,2.78476461774886
13.026000000001,2.77926467465029
13.028000000001,2.77373376358868
13.030000000001,2.76818625575842
13.032000000001,2.76261102374343
13.034000000001,2.75703902444134
13.036000000001,2.75138087834603
13.038000000001,2.7457527944261
13.040000000001,2.74014502161801
13.042000000001,2.73446657904313
13.044000000001,2.72878912991226
13.046000000001,2.72305083250013
13.048000000001,2.7173678135226
13.050000000001,2.71162785514404
13.052000000001,2.70582344445045
13.054000000001,2.70009309180822
13.056000000001,2.69434376195825
13.058000000001,2.68848567145036
13.060000000001,2.68262676947458
13.062000000001,2.67675267705082
13.064000000001,2.6709416535459
13.066000000001,2.66496908733858
13.068000000001,2.65908179841004
13.070000000001,2.65313060010176
13.072000000001,2.64720560721463
13.074000000001,2.64125237091798
13.076000000001,2.63514117778793
13.078000000001,2.62919727679809
13.080000000001,2.6231528345602
13.082000000001,2.61716382469247
13.084000000001,2.61114733251735
13.086000000001,2.60500452174997
13.088000000001,2.59890603066174
13.090000000001,2.59275508992685
13.092000000001,2.58663468917095
13.094000000001,2.58044571897423
13.096000000001,2.57427844934586
13.098000000001,2.56801615053631
13.100000000001,2.56180170291973
13.102000000001,2.55554845360717
13.104000000001,2.54924054669187
13.106000000001,2.54303206653982
13.108000000001,2.53674816110851
13.110000000001,2.53040095683028
13.112000000001,2.52404367524379
13.114000000001,2.517684975998
13.116000000001,2.51128240040254
13.1180000000011,2.50492813796975
13.1200000000011,2.49851327467168
13.1220000000011,2.49206495931991
13.1240000000011,2.48561626108326
13.1260000000011,2.47915991458488
13.1280000000011,2.47266340451871
13.1300000000011,2.46616496328103
13.1320000000011,2.45963025369219
13.1340000000011,2.45308563722483
13.1360000000011,2.44651504322753
13.1380000000011,2.43994821256613
13.1400000000011,2.43333555250304
13.1420000000011,2.42670602225138
13.1440000000011,2.42007655219117
