"Plot64"
"Time (sec)","Velocity30 (meter/sec)"
5.73799999999959,10.4651917398705
5.73999999999959,10.4600510658787
5.74199999999959,10.4549227180607
5.74399999999959,10.4498066996082
5.74599999999959,10.4447030129671
5.74799999999959,10.4396116606254
5.74999999999959,10.4345326464611
5.75199999999959,10.4294659726233
5.75399999999959,10.4244116417367
5.75599999999959,10.4193696566776
5.75799999999959,10.4143400206482
5.75999999999959,10.4093227358184
5.76199999999959,10.4043178029104
5.76399999999959,10.3993252221659
5.76599999999959,10.3943449943548
5.76799999999959,10.389377120529
5.76999999999959,10.3844216022895
5.77199999999959,10.3794784419964
5.77399999999959,10.3745476421448
5.77599999999959,10.3696292051449
5.77799999999959,10.3647231333118
5.77999999999959,10.3598294296228
5.78199999999959,10.3549480959719
5.78399999999959,10.3500791343797
5.78599999999958,10.3452225470954
5.78799999999958,10.3403783367067
5.78999999999958,10.3355465055103
5.79199999999958,10.3307270558206
5.79399999999958,10.3259199910456
5.79599999999958,10.3211253139768
5.79799999999958,10.3163430257783
5.79999999999958,10.3115731282106
5.80199999999958,10.306815622362
5.80399999999958,10.3020705117954
5.80599999999958,10.297337799888
5.80799999999958,10.2926174892963
5.80999999999958,10.2879095823202
5.81199999999958,10.2832140812453
5.81399999999958,10.2785309884139
5.81599999999958,10.2738603062936
5.81799999999958,10.2692020373731
5.81999999999958,10.2645561841616
5.82199999999958,10.2599227491508
5.82399999999958,10.2553017347735
5.82599999999958,10.250693143462
5.82799999999958,10.2460969776596
5.82999999999958,10.2415132396929
5.83199999999958,10.2369419316029
5.83399999999958,10.2323830566422
5.83599999999958,10.2278366157392
5.83799999999958,10.2233026098422
5.83999999999958,10.2187810405696
5.84199999999958,10.2142719098789
5.84399999999958,10.2097752198162
5.84599999999958,10.2052909719536
5.84799999999958,10.2008191685637
5.84999999999958,10.1963598118279
5.85199999999958,10.1919129037336
5.85399999999958,10.1874784461462
5.85599999999958,10.1830564409617
5.85799999999958,10.1786468894806
5.85999999999958,10.1742497941889
5.86199999999958,10.1698651574487
5.86399999999958,10.1654929813193
5.86599999999958,10.1611332689222
5.86799999999958,10.1567860199596
5.86999999999958,10.1524512365987
5.87199999999958,10.1481289215517
5.87399999999958,10.1438190774961
5.87599999999957,10.1395217062142
5.87799999999957,10.1352368095067
5.87999999999957,10.1309643890033
5.88199999999957,10.1267044467449
5.88399999999957,10.1224569842544
5.88599999999957,10.1182220041819
5.88799999999957,10.1139995089815
5.88999999999957,10.1097895008635
5.89199999999957,10.1055919817914
5.89399999999957,10.1014069536309
5.89599999999957,10.097234418466
5.89799999999957,10.0930743784404
5.89999999999957,10.0889268355335
5.90199999999957,10.0847917917501
5.90399999999957,10.0806692493087
5.90599999999957,10.0765592106708
5.90799999999957,10.0724616776011
5.90999999999957,10.0683766520508
5.91199999999957,10.0643041356156
5.91399999999957,10.0602441306668
5.91599999999957,10.0561966398199
5.91799999999957,10.0521616649702
5.91999999999957,10.0481392065851
