"Plot67"
"Time (sec)","Linear Acceleration5 (meter/sec**2)"
17.2560000000013,-0.612737125164429
17.2580000000013,-0.612609350498002
17.2600000000013,-0.612480579256951
17.2620000000013,-0.61235083123036
17.2640000000013,-0.612220151290682
17.2660000000013,-0.612092710844293
17.2680000000013,-0.611958176968105
17.2700000000013,-0.611827163174285
17.2720000000013,-0.611690134354717
17.2740000000013,-0.611548336521608
17.2760000000013,-0.611410464339631
17.2780000000013,-0.611268435623147
17.2800000000013,-0.61113044277123
17.2820000000013,-0.610985328284067
17.2840000000013,-0.610838097985389
17.2860000000013,-0.610688424200982
17.2880000000013,-0.610536186509232
17.2900000000013,-0.610380299670824
17.2920000000013,-0.610221428906911
17.2940000000013,-0.610061728121455
17.2960000000013,-0.609893374675509
17.2980000000013,-0.609722668984874
17.3000000000013,-0.609541401076375
17.3020000000013,-0.609357496157661
17.3040000000013,-0.609172623928185
17.3060000000013,-0.608980421308171
17.3080000000013,-0.608781069304879
17.3100000000013,-0.608575887992422
17.3120000000013,-0.608358553058181
17.3140000000013,-0.608132323874081
17.3160000000013,-0.607895751663529
17.3180000000013,-0.607649328484869
17.3200000000013,-0.607390181479133
17.3220000000013,-0.607117812272277
17.3240000000013,-0.606831492428291
17.3260000000013,-0.606528196589012
17.3280000000013,-0.60620730624946
17.3300000000013,-0.605866797441938
17.3320000000013,-0.605503648455247
17.3340000000013,-0.605116119718369
17.3360000000013,-0.604700887723728
17.3380000000013,-0.604254959756218
17.3400000000013,-0.603773681803106
17.3420000000013,-0.603253380669272
17.3440000000013,-0.602688400152394
17.3460000000013,-0.602069781968033
17.3480000000013,-0.601396928770344
17.3500000000013,-0.600655163603904
17.3520000000013,-0.599838634032935
17.3540000000013,-0.598929082965909
17.3560000000013,-0.597920673943974
17.3580000000013,-0.596779533133896
17.3600000000013,-0.595494052999081
17.3620000000013,-0.594031379068504
17.3640000000013,-0.592355998514152
17.3660000000013,-0.590406962963157
17.3680000000013,-0.588157681101369
17.3700000000013,-0.585477114395155
17.3720000000013,-0.582214008425133
17.3740000000012,-0.578390097216767
17.3760000000012,-0.57419888609131
17.3780000000012,-0.572853370895377
17.3800000000012,-0.575617718121069
17.3820000000012,-0.581123898479193
17.3840000000012,-0.584947684312826
17.3860000000012,-0.57995749937628
17.3880000000012,-0.54258702666347
17.3900000000012,-0.208450792014797
17.3920000000012,0.393544239389015
17.3940000000012,0.372850604314606
17.3960000000012,0.293841374073476
17.3980000000012,0.238165885100681
17.4000000000012,0.223603755541421
17.4020000000012,0.231369887105867
17.4040000000012,0.247133874426249
17.4060000000012,0.26448732922498
17.4080000000012,0.281007198977107
17.4100000000012,0.295933061296497
17.4120000000012,0.309058973290884
17.4140000000012,0.320284798069046
17.4160000000012,0.329423737605353
17.4180000000012,0.336298733667338
17.4200000000012,0.340533057561673
17.4220000000012,0.341825480364256
17.4240000000012,0.341054467776265
17.4260000000012,0.340342576404195
17.4280000000012,0.339965450215948
17.4300000000012,0.33979350917602
17.4320000000012,0.339723857983013
17.4340000000012,0.339712607192465
17.4360000000012,0.339730850298543
17.4380000000012,0.339762737931324
17.4400000000012,0.339796475385321
17.4420000000012,0.339824645677619
17.4440000000012,0.33985183965911
17.4460000000012,0.339875986120467
17.4480000000012,0.339868273736687
17.4500000000012,0.339889465825885
17.4520000000012,0.339928957833095
17.4540000000012,0.339924611176089
17.4560000000012,0.339920894682729
17.4580000000012,0.339920176565334
17.4600000000012,0.339916264958302
17.4620000000012,0.339904075871143
17.4640000000012,0.339901446141875
17.4660000000012,0.339897794445746
17.4680000000012,0.339893666488971
17.4700000000012,0.339893984270538
17.4720000000012,0.33988332919983
17.4740000000012,0.339884275561678
17.4760000000012,0.33988114424943
17.4780000000012,0.3398796541521
17.4800000000012,0.339878170909506
17.4820000000012,0.339879755371492
17.4840000000012,0.339877538868476
17.4860000000012,0.339882150535496
17.4880000000012,0.33989037037956
17.4900000000012,0.339894840892343
17.4920000000012,0.339901830346013
17.4940000000012,0.339910742666684
17.4960000000012,0.339921207992069
17.4980000000012,0.339932630677719
17.5000000000012,0.339945695838508
17.5020000000012,0.339960464757719
17.5040000000012,0.339976438435508
17.5060000000012,0.339993857667579
17.5080000000012,0.340013079080474
17.5100000000012,0.340035708308686
17.5120000000012,0.340053626865192
17.5140000000012,0.340077994545127
17.5160000000012,0.340103068123226
17.5180000000012,0.340126969833075
17.5200000000012,0.340156218654092
17.5220000000012,0.34018571911849
17.5240000000012,0.340216797866443
17.5260000000012,0.340252022240706
17.5280000000012,0.340284029050236
17.5300000000012,0.340317083701582
17.5320000000012,0.340350581395284
17.5340000000012,0.340387813514251
17.5360000000012,0.34042577554345
17.5380000000012,0.340464453371131
17.5400000000012,0.340505325168434
17.5420000000012,0.340546181194986
17.5440000000012,0.340589360525146
17.5460000000012,0.340633755311038
17.5480000000012,0.340676735194798
17.5500000000012,0.340722769710524
17.5520000000012,0.34077047043769
17.5540000000011,0.340817980982453
17.5560000000011,0.340867246619365
17.5580000000011,0.340917672369561
17.5600000000011,0.340968964662991
17.5620000000011,0.341020626395502
17.5640000000011,0.341074229380377
17.5660000000011,0.341125492187602
17.5680000000011,0.341181752738442
17.5700000000011,0.341238156198415
17.5720000000011,0.341295743038887
17.5740000000011,0.341356738245074
17.5760000000011,0.341414481048163
17.5780000000011,0.341471034132169
17.5800000000011,0.341532231684653
17.5820000000011,0.341594654913498
17.5840000000011,0.34165705809723
17.5860000000011,0.341720096623509
17.5880000000011,0.341785349449043
17.5900000000011,0.341849879747419
17.5920000000011,0.341916935065312
17.5940000000011,0.341986806157811
17.5960000000011,0.342048780481889
17.5980000000011,0.342116709754037
17.6000000000011,0.342186460041896
17.6020000000011,0.342256029477181
17.6040000000011,0.342329677606924
17.6060000000011,0.342400084435071
17.6080000000011,0.342471407303882
17.6100000000011,0.34254391459691
17.6120000000011,0.342617427598156
17.6140000000011,0.342691863399451
17.6160000000011,0.342772083176582
17.6180000000011,0.342843949182404
17.6200000000011,0.34292225833362
17.6220000000011,0.342998664560957
17.6240000000011,0.343076241504292
17.6260000000011,0.343155058108847
17.6280000000011,0.343234492919473
17.6300000000011,0.343314537088817
17.6320000000011,0.343396028416049
17.6340000000011,0.343478143292206
17.6360000000011,0.343560479801599
17.6380000000011,0.343643980893777
17.6400000000011,0.343728219396443
17.6420000000011,0.343813206839784
17.6440000000011,0.343898771250823
17.6460000000011,0.343985146145085
17.6480000000011,0.344071824980915
17.6500000000011,0.344159397527947
17.6520000000011,0.344247846107164
17.6540000000011,0.344337328457457
17.6560000000011,0.344426609148725
17.6580000000011,0.34451715782734
17.6600000000011,0.344608372940498
17.6620000000011,0.344700309436845
17.6640000000011,0.344792764020291
17.6660000000011,0.344885050545036
17.6680000000011,0.344980734596745
17.6700000000011,0.345074557280035
17.6720000000011,0.345170179679986
17.6740000000011,0.345265597017263
17.6760000000011,0.345362292114794
17.6780000000011,0.345459671384068
17.6800000000011,0.34555765798482
17.6820000000011,0.345656666301537
17.6840000000011,0.345755583411951
17.6860000000011,0.345856059879123
17.6880000000011,0.345956520292405
17.6900000000011,0.346057563840957
17.6920000000011,0.34615980808568
17.6940000000011,0.34626238073304
17.6960000000011,0.346365845827136
17.6980000000011,0.34647046948208
17.7000000000011,0.346574490742054
17.7020000000011,0.346680013168655
17.7040000000011,0.346786296526499
17.7060000000011,0.346893209480709
17.7080000000011,0.347000487801112
17.7100000000011,0.347108504047292
17.7120000000011,0.347216965966503
17.7140000000011,0.347326845952686
17.7160000000011,0.347436850433745
17.7180000000011,0.347547540723416
17.7200000000011,0.347653238167494
17.7220000000011,0.347767496722426
17.7240000000011,0.347882271959538
17.7260000000011,0.347996429323333
17.7280000000011,0.348110784978376
17.7300000000011,0.34822598769109
17.7320000000011,0.348342060020683
17.734000000001,0.34845803529757
17.736000000001,0.348574811812633
17.738000000001,0.348692515592182
17.740000000001,0.348809949600846
17.742000000001,0.348929307722798
17.744000000001,0.349048716153061
17.746000000001,0.349168724457622
17.748000000001,0.349289070539771
17.750000000001,0.349410662860634
17.752000000001,0.349532862758092
17.754000000001,0.349656049876406
17.756000000001,0.349779362593994
17.758000000001,0.349903046767146
17.760000000001,0.35002800018153
17.762000000001,0.350152636208101
17.764000000001,0.350280077532819
17.766000000001,0.350406846339848
17.768000000001,0.350533974208492
17.770000000001,0.350661937323812
17.772000000001,0.350790894067695
17.774000000001,0.350920198445274
17.776000000001,0.351050470482022
17.778000000001,0.351181573442902
17.780000000001,0.351312713472058
17.782000000001,0.351445005462896
17.784000000001,0.351577513192106
17.786000000001,0.35171109910863
17.788000000001,0.351850187880769
17.790000000001,0.351982571829465
17.792000000001,0.352116900012715
17.794000000001,0.352252379739419
17.796000000001,0.352388824361467
17.798000000001,0.352526458268247
17.800000000001,0.352664373839512
17.802000000001,0.352802894260345
17.804000000001,0.352942474869485
17.806000000001,0.353082964006083
17.808000000001,0.353223327907064
17.810000000001,0.353365093009653
17.812000000001,0.353507833267598
17.814000000001,0.353650277121635
17.816000000001,0.35379390622468
17.818000000001,0.353939144107842
17.820000000001,0.354083495930329
17.822000000001,0.354229252477185
17.824000000001,0.354375286436219
17.826000000001,0.354522428299901
17.828000000001,0.354670309367383
17.830000000001,0.354818274691977
17.832000000001,0.354967242511195
17.834000000001,0.355116999541753
17.836000000001,0.355267496683479
